date,venueType,venueName,city,state,peopleKilled,peopleInjured,pistol,rifle,shotgun,unknownGun,explosive,knife,nonMetallicObject,googleMapsUrl
5/19/2014,11,Orlando Regional Medical Center,Orlando,FL,1,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Orlando+Regional+Medical+Center/@28.5262475,-81.3773068,17z/data=!3m1!4b1!4m2!3m1!1s0x88e77b0f43dcd4fb:0x58630ca156e9e0"
5/21/2014,1,Clarke Street School,Milwaukee,WI,0,1,0,0,0,1,0,0,0,"https://www.google.com/maps/place/CLARKE+STREET+ELEMENTARY+SCHOOL/@43.066401,-87.949253,17z/data=!4m2!3m1!1s0x88051bedca33c7ff:0x7d4a4c03584545c7"
5/23/2014,1,University of California,Sta. Barbara,CA,6,13,3,0,0,0,0,0,0,"https://www.google.com/maps/place/University+of+California,+Santa+Barbara/@34.413963,-119.848947,17z/data=!3m1!4b1!4m2!3m1!1s0x80e93f67f3314b37:0x4e956b7e5cb6cec2"
5/24/2014,6,Bermuda Sands Motel,Myrtle Beach,SC,3,1,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Bermuda+Sands+Motel/@33.683777,-78.887216,17z/data=!3m1!4b1!4m2!3m1!1s0x8900660268510a37:0x1ce978ede3bc9591"
5/24/2014,10,Coke Lot,Indianapolis,IN,1,0,0,0,0,1,0,0,0,https://foursquare.com/v/the-coke-lot-indianapolis-in/4b66e9aef964a520f42f2be3
5/25/2014,10,Coke Lot,Indianapolis,IN,0,2,0,0,0,1,0,0,0,https://foursquare.com/v/the-coke-lot-indianapolis-in/4b66e9aef964a520f42f2be3
5/25/2014,10,Coke Lot,Indianapolis,IN,0,1,1,0,0,0,0,0,0,https://foursquare.com/v/the-coke-lot-indianapolis-in/4b66e9aef964a520f42f2be3
5/26/2014,6,Hyatt Regency Clearwater Beach Resort & Spa,Clearwater,FL,0,2,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Hyatt+Regency+Clearwater+Beach+Resort+and+Spa/@27.973782,-82.829103,17z/data=!3m1!4b1!4m2!3m1!1s0x88c2f6d7b58b24c7:0x58217a93a483ad33"
5/26/2014,10,Walmart Supercenter,Greenacres,FL,1,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Walmart+Supercenter/@26.649588,-80.14248,17z/data=!3m1!4b1!4m2!3m1!1s0x88d9287d8f15dce7:0x3bdb13ea2fb9878a"
6/5/2014,1,Seattle Pacific University,Seattle,WA,1,3,0,0,1,0,0,1,0,"https://www.google.com/maps/place/Seattle+Pacific+University/@47.6478462,-122.3619475,16z/data=!3m1!4b1!4m2!3m1!1s0x54901509db0d439f:0xb7ef892c801ec379"
6/8/2014,10,CiCi's Pizza and Walmart,Las Vegas,NV,3,0,2,0,1,1,0,0,0,"https://www.google.com/maps/place/CiCi's+Pizza/@36.09871,-115.118628,17z/data=!3m1!4b1!4m2!3m1!1s0x80c8c51608b508af:0xf65f3cbd00703956"
6/10/2014,1,Reynolds High School,Troutdale,OR,1,1,0,1,0,0,0,0,0,"https://www.google.com/maps/place/Reynolds+High+School/@45.528859,-122.402377,17z/data=!3m1!4b1!4m2!3m1!1s0x5495980701256cc1:0xd0906294a159cd52"
